Display_Name,Player_Name,Nationality,Auction_Role,Season,Franchise,OVR,Career_OVR,Tier,Auction_Set,Base_Price_Cr,Status,Seasons_Played,Is_Wicketkeeper,Batting_Strike_Rate,Batting_Runs,Bowling_Economy,Bowling_Wickets
Rahul Sharma,R Sharma,Indian,Bowler,2011,PWI,82,87,B,Bowlers - B,1.0,Capped,5,0,114.29,24,5.46,16
Pawan Negi,P Negi,Indian,All-Rounder,2017,RCB,82,87,B,All-Rounders - B,1.0,Capped,8,0,129.73,144,6.12,16
Munaf Patel,MM Patel,Indian,Bowler,2011,MI,82,87,B,Bowlers - B,1.0,Capped,7,0,0.0,0,6.59,22
Murali Vijay,M Vijay,Indian,Batter,2016,PBKS,82,87,B,Batters - B,1.0,Capped,11,0,124.45,453,8.0,0
Jacques Kallis,JH Kallis,Overseas,All-Rounder,2010,RCB,82,87,B,All-Rounders - B,1.0,Capped,7,0,115.79,572,8.35,13
Iqbal Abdulla,Iqbal Abdulla,Indian,Bowler,2011,KKR,82,87,B,Bowlers - B,1.0,Capped,9,0,125.0,15,6.1,16
Mayank Agarwal,MA Agarwal,Indian,Batter,2020,PBKS,82,87,B,Batters - B,1.0,Capped,15,0,158.24,432,0.0,0
Mohammed Shami,Mohammed Shami,Indian,Bowler,2021,PBKS,82,87,B,Bowlers - B,1.0,Capped,12,0,76.47,13,7.5,19
Umesh Yadav,UT Yadav,Indian,Bowler,2022,KKR,82,87,B,Bowlers - B,1.0,Capped,14,0,137.5,55,7.06,16
Praveen Kumar,P Kumar,Indian,Bowler,2013,PBKS,82,86,B,Bowlers - B,1.0,Capped,10,0,120.51,47,6.62,12
Yuvraj Singh,Yuvraj Singh,Indian,All-Rounder,2011,PWI,82,86,B,All-Rounders - B,1.0,Capped,11,0,131.42,343,6.62,9
Daniel Vettori,DL Vettori,Overseas,Bowler,2011,RCB,81,86,B,Bowlers - B,0.75,Capped,5,0,82.14,23,6.02,12
Rahul Chahar,RD Chahar,Indian,Bowler,2019,MI,81,86,B,Bowlers - B,0.75,Capped,9,0,109.09,12,6.55,13
Shimron Hetmyer,SO Hetmyer,Overseas,Batter,2022,RR,81,86,B,Batters - B,0.75,Capped,8,0,153.92,314,0.0,0
Sachin Tendulkar,SR Tendulkar,Indian,Batter,2010,MI,81,86,B,Batters - B,0.75,Capped,6,0,132.62,618,0.0,0
Devdutt Padikkal,D Padikkal,Indian,Batter,2026,RCB,81,86,B,Batters - B,0.75,Capped,7,0,168.73,464,0.0,0
Brendon McCullum,BB McCullum,Overseas,Wicketkeeper,2015,CSK,81,86,B,Wicketkeepers - B,0.75,Capped,11,1,155.71,436,0.0,0
Ravi Bishnoi,Ravi Bishnoi,Indian,Bowler,2021,PBKS,81,86,B,Bowlers - B,0.75,Capped,7,0,25.0,1,6.39,12
Ishant Sharma,I Sharma,Indian,Bowler,2009,KKR,81,86,B,Bowlers - B,0.75,Capped,15,0,123.08,16,6.91,11
Albie Morkel,JA Morkel,Overseas,All-Rounder,2008,CSK,81,86,B,All-Rounders - B,0.75,Capped,9,0,147.85,241,8.31,17
Nitish Rana,N Rana,Indian,Batter,2023,KKR,81,86,B,Batters - B,0.75,Capped,11,0,140.96,413,8.49,3
Mitchell Johnson,MG Johnson,Overseas,Bowler,2013,MI,81,86,B,Bowlers - B,0.75,Capped,6,0,108.33,39,7.17,24
Matthew Hayden,ML Hayden,Overseas,Batter,2009,CSK,81,86,B,Batters - B,0.75,Capped,3,0,144.81,572,0.0,0
Moises Henriques,MC Henriques,Overseas,All-Rounder,2015,SRH,81,86,B,All-Rounders - B,0.75,Capped,8,0,136.02,287,6.32,11
Michael Hussey,MEK Hussey,Overseas,Batter,2013,CSK,81,86,B,Batters - B,0.75,Capped,7,0,129.51,733,0.0,0
Jason Holder,JO Holder,Overseas,Bowler,2020,SRH,81,86,B,Bowlers - B,0.75,Capped,8,0,124.53,66,8.32,14
Manish Pandey,MK Pandey,Indian,Batter,2017,KKR,81,86,B,Batters - B,0.75,Capped,19,0,128.57,396,0.0,0
Tim David,TH David,Overseas,Batter,2022,MI,81,86,B,Batters - B,0.75,Capped,6,0,216.28,186,0.0,0
Virender Sehwag,V Sehwag,Indian,Batter,2008,DC,81,86,B,Batters - B,0.75,Capped,8,0,184.55,406,12.09,3
Khaleel Ahmed,KK Ahmed,Indian,Bowler,2019,SRH,81,86,B,Bowlers - B,0.75,Capped,9,0,0.0,0,8.24,19
